Reference,Quantity,Value,Footprint,Manufacturer,MPN,Layer,
C1 C15 C18 C19,4,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,Top,
C10 C12 C13 C14,4,C_22u_0603,0603-cap,MURATA,GRM188R60J226MEA0D,Top,
C11,1,C_10n_0402,0402-cap,AVX,04025G103ZAT2A,Top,
C16 C17,2,C_22p_0402,0402-cap,YAGEO,CC0402JRNPO9BN220,Top,
D1 D2,2,PGB1010603MR,PGB1010603MR,Littelfuse Inc.,PGB1010603MR,Top,
IC1,1,TPD8S009DSMR,R-PDSO-N15,Texas Instruments,TPD8S009DSMR,Top,
J2,1,1140084168,MicroSD_1140084168,Amphenol,1140084168,Top,
J4,1,685119134923,HDMI_A_Female_685119134923,Amphenol,685119134923,Top,
J5,1,UE27AC54100,USB_A_Female_UE27AC54100,Amphenol ICC (Commercial Products),UE27AC54100,Top,
JB1 JC1 JD1,3,0015912120,PinHeader_6x2_P2.54mm_Horizontal_Mirrored,Molex,0015912120,Top,
L1,1,XFL4020-102MEB,XFL4020-102MEB,Coilcraft,XFL4020-102MEB,Top,
N2,1,oshw_logo,oshw-logo,,,Top,
R1 R2 R3 R4 R5 R6 R7,7,R_20k_0402,0402-res,VISHAY,CRCW040220K0FKED,Top,
R10 R9,2,R_22R_0402,0402-res,VISHAY,CRCW040222R0FKED,Top,
R11,1,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,Top,
R12,1,R_220k_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ-2RKF2203X,Top,
R13 R14 R15 R16 R17 R18 R19 R20 R8,9,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,Top,
TP1 TP10 TP11 TP13 TP14 TP15 TP2 TP3 TP5 TP6 TP7 TP8 TP9,13,TP_SMD1MM,Testpoint_smd_1mm,,,Top,
TP4,1,TP_SMD1MM-,Testpoint_smd_1mm,,,Top,
U1,1,TPS61232DRCT,VSON-10-1EP_3x3mm,Texas Instruments,TPS61232DRCT,Top,
U2,1,MAX3421EEHJ,TQFP-32_5x5mm,Maxim integrated,MAX3421EEHJ,Top,
Y1,1,ABM8G-12.000MHZ-18-D2Y-T,KX-7,Abracon,ABM8G-12.000MHZ-18-D2Y-T ,Top,
R21,1,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,DNP,
N1,1,antmicro_logo,antmicro-logo_scaled_30mm,,,Virtual,
TP12,1,TP_SMD1MM,Testpoint_smd_1mm,,,Virtual,
