Reference,Quantity,Value,Footprint,Manufacturer,MPN,
C1 C15 C18 C19,4,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,
C10 C12 C13 C14,4,C_22u_0603,0603-cap,MURATA,GRM188R60J226MEA0D,
C11,1,C_10n_0402,0402-cap,AVX,04025G103ZAT2A,
C16 C17,2,C_22p_0402,0402-cap,MULTICOMP,160R15X106KV4E,
D1 D2,2,PGB1010603MR,PGB1010603MR,Littelfuse Inc.,PGB1010603MR,
IC1,1,TPD8S009DSMR,R-PDSO-N15,Texas Instruments,TPD8S009DSMR,
J2,1,1140084168,MicroSD_1140084168,Amphenol,1140084168,
J4,1,685119134923,HDMI_A_Female_685119134923,Amphenol,685119134923,
J5,1,UE27AC54100,USB_A_Female_UE27AC54100,Amphenol ICC (Commercial Products),UE27AC54100,
JB1 JC1 JD1,3,0015912120,PinHeader_2x6_P2.54mm_Vertical_SMD,Molex,0015912120,
L1,1,XFL4020-102MEB,XFL4020-102MEB,Coilcraft,XFL4020-102MEB,
R1 R2 R3 R4 R5 R6 R7,7,R_20k_0603,0603-res,MULTICOMP,MCMR06X203_JTL,
R10 R9,2,R_22R_0402,0402-res,VISHAY,CRCW040222R0FKED,
R11,1,R_10k_0603,0603-res,BOURNS,CR0603-JW-103ELF,
R12,1,R_220k_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ-2RKF2203X,
R13 R14 R15 R16 R17 R18 R19 R20,8,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,
R8,1,R_0R_0603,0603-res,BOURNS,CR0603-J/-000ELF,
TP1 TP10 TP11 TP12 TP13 TP14 TP15 TP2 TP3 TP5 TP6 TP7 TP8 TP9,14,TP_SMD1MM,Testpoint_smd_1mm,,,
TP4,1,TP_SMD1MM-,Testpoint_smd_1mm,,,
U1,1,TPS61232DRCT,VSON-10-1EP_3x3mm,Texas Instruments,TPS61232DRCT,
U2,1,MAX3421EEHJ,TQFP-32_5x5mm,Maxim integrated,MAX3421EEHJ,
Y1,1,KX-7_12.MHz,KX-7,Geyer Electronic,KX-7_SMD_CRYSTAL_12.0 MHZ,
