Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_100n_0402_6V3","0402-cap",186.171241,-104.678709,180.000000,top
"C10","C_22u_0603","0603-cap",143.066241,-109.278709,270.000000,top
"C11","C_10n_0402","0402-cap",133.261241,-110.768709,270.000000,top
"C12","C_22u_0603","0603-cap",131.684741,-102.868709,90.000000,top
"C13","C_22u_0603","0603-cap",129.898241,-102.868709,90.000000,top
"C14","C_22u_0603","0603-cap",133.471241,-102.868709,90.000000,top
"C15","C_100n_0402_6V3","0402-cap",109.361241,-106.778709,0.000000,top
"C16","C_22p_0402","0402-cap",112.711241,-120.058709,90.000000,top
"C17","C_22p_0402","0402-cap",120.591241,-120.058709,270.000000,top
"C18","C_100n_0402_6V3","0402-cap",110.524241,-116.469043,180.000000,top
"C19","C_100n_0402_6V3","0402-cap",110.524241,-117.992209,0.000000,top
"IC1","TPD8S009DSMR","R-PDSO-N15",114.651241,-97.078709,90.000000,top
"J2","1140084168","MicroSD_1140084168",194.051241,-104.478709,90.000000,top
"J4","685119134923","HDMI_A_Female_685119134923",101.551241,-94.478709,90.000000,top
"R1","R_20k_0603","0603-res",192.077909,-115.882012,270.000000,top
"R2","R_20k_0603","0603-res",196.571241,-115.882012,270.000000,top
"R3","R_20k_0603","0603-res",178.734505,-112.078709,270.000000,top
"R4","R_20k_0603","0603-res",181.271241,-112.078709,270.000000,top
"R5","R_20k_0603","0603-res",176.197769,-112.078709,270.000000,top
"R6","R_20k_0603","0603-res",173.661031,-112.078709,270.000000,top
"R7","R_20k_0603","0603-res",194.324575,-115.882012,270.000000,top
"R8","R_0R_0603","0603-res",126.211241,-103.580209,0.000000,top
"R9","R_22R_0402","0402-res",110.712500,-111.050000,0.000000,top
"R10","R_22R_0402","0402-res",110.712500,-112.129500,0.000000,top
"R11","R_10k_0603","0603-res",126.328241,-106.019209,180.000000,top
"R12","R_220R_0402","0402-res",190.071241,-116.078709,90.000000,top
"R13","R_0R_0402","0402-res",123.206242,-92.978709,180.000000,top
"R14","R_0R_0402","0402-res",123.206242,-94.207280,180.000000,top
"R15","R_0R_0402","0402-res",123.206242,-100.350135,180.000000,top
"R16","R_0R_0402","0402-res",123.206242,-101.578709,180.000000,top
"R17","R_0R_0402","0402-res",123.206242,-99.121564,180.000000,top
"R18","R_0R_0402","0402-res",123.206242,-97.892993,180.000000,top
"R19","R_0R_0402","0402-res",123.206242,-96.664422,180.000000,top
"R20","R_0R_0402","0402-res",123.206242,-95.435851,180.000000,top
"R23","R_0R_0603","0603-res",124.626241,-108.343709,180.000000,top
"U1","TPS61232DRCT","VSON-10-1EP_3x3mm",135.103241,-106.948709,270.000000,top
"U2","MAX3421EEHJ","TQFP-32_5x5mm",117.041241,-111.568709,180.000000,top
"Y1","KX-7_12.MHz","KX-7",117.013741,-120.008709,0.000000,top
